Company,Rating,Reviews,Service_Type,Headquarters
ZestMoney,4.0,130,FinTech,Bengaluru
FrontierWox Tech,4.5,130,IT Services & Consulting,Tiruchirappalli
Rahman Industries,3.7,130,Fashion & Textile,Kanpur
PAVIT CERAMICS ( P),3.4,130,Building Material,Ahmedabad
SATTRIX Information Security,2.8,130,IT Services & Consulting,Ahmedabad
Gainsight,4.0,130,IT Services & Consulting,Hyderabad
INVESMATE,3.8,130,Education & Training,Kolkata
Valtech India Systems,3.8,130,IT Services & Consulting,Bengaluru
myTectra,3.1,130,Education & Training,Bengaluru
RFCL,3.6,130,Agro Chemicals,Ramagundam
Lakshya Powertech Limited,3.9,130,Ahmedabad +16 other locations,
Trangile Services,4.5,130,IT Services & Consulting,Noida
Tata Motors Insurance Broking And Advisory Services,3.7,130,Insurance,Mumbai
Dasnac,4.5,130,Real Estate,New Delhi
ImagicaaWorld Entertainment Limited,3.5,130,Events,Mumbai
Ajnara India,3.5,130,Real Estate,Noida
Nation with NaMo,2.5,130,Non-Profit,New Delhi
Forace Polymers,3.2,130,Chemicals,Haridwar
M G Contractors,4.5,130,Engineering & Construction,Panchkula
Jindal Water Infrastructure,3.7,130,Waste Management,New Delhi
Same Deutz-fahr,3.7,130,Industrial Machinery,Vellore
Forever New,3.9,130,Retail,Gurugram
Manali Petrochemicals,3.2,130,Chemicals,Chennai
Doosan Bobcat India,3.9,130,Industrial Machinery,Chennai
Gmr Aero Technic,4.3,130,Aviation,Hyderabad
Dentcare Dental Lab,3.8,130,Medical Equipment,Kochi
AKGVG & Associates,3.3,130,Accounting & Auditing,New Delhi
Rajagiri Hospital,4.2,130,Healthcare,Kochi
MOVIN,3.7,130,Gurugram +13 other locations,
Labvantage Solutions,3.7,131,Software Product,Kolkata
Integrated Cleanroom Technologies,4.0,130,Facility Management Services,Hyderabad
Sonepar,4.3,130,Other,Gurugram
Ocube Services,3.0,130,BPO,Noida
Nims Hospital,3.7,130,Healthcare,Jaipur
Planedge Consultants,3.3,130,Management Consulting,Pune
Turner International,4.0,131,Engineering & Construction,Mumbai
Synergy Systems & Solutions,3.9,130,Industrial Automation,Faridabad
Doehler,3.6,130,IT Services & Consulting,Pune
IG Infotech India,2.9,130,IT Services & Consulting,Bengaluru
Srinivasa Farms,3.7,130,Food Processing,Hyderabad
Desnor Destination,4.3,129,Noida +2 other locations,
CNS Comnet,4.1,129,BPO,Gurugram
Acent High Soft Technologies,4.6,129,Recruitment,Noida
DUKES,3.9,130,Hospitality,Hyderabad
INFOCRUNCH ANALYTICS,3.0,129,Analytics & KPO,New Delhi
Dr. D.Y.Patil Hospital & Research Centre,3.9,130,Healthcare,Pune
Gamma Process Hub,3.6,129,BPO,Chennai
Nissin Abc Logistics,4.0,129,Logistics,Gurugram
Veena Developers,4.1,129,Real Estate,Mumbai
Axtel Industries,4.0,129,Industrial Machinery,Vadodara
Ageis,3.7,129,Emerging Technologies,Bengaluru
Growel Softech,3.0,129,Recruitment,Pune
NETPLUS Broadband Services,3.7,130,Telecom,Ludhiana
POWERCON Ventures India,3.7,131,Power,Pune
Valu Connex Telecom Services Private,4.4,129,Telecom,New Delhi
Doshion,3.6,129,Waste Management,Ahmedabad
Shri Ram ComSoft Pvt Ltd - SRCOMSOFT,3.0,129,IT Services & Consulting,Jabalpur
Tide Water Oil,3.8,129,Oil & Gas,Kolkata
JS Auto Cast Foundry,3.8,129,Coimbatore +4 other locations,
Channel Soft,3.7,129,IT Services & Consulting,Vijayawada
20 Microns,3.8,130,Chemicals,Vadodara
Holcim Global Hub Business Services,4.2,130,IT Services & Consulting,Mumbai
SAN Engineering & Locomotive,3.8,129,Industrial Machinery,Bengaluru
Hellmann Worldwide Logistics,3.9,129,Logistics,Chennai
Minosha,4.0,129,Hardware & Networking,New Delhi
Ice Mortgage Technology,3.3,129,Software Product,Pune
Mahansaria Group,3.4,129,Auto Components,Bharuch
Bizmatics India,3.2,129,Software Product,Mumbai
Alexis Global,3.7,129,Logistics,New Delhi
Zopsmart Technology,3.2,129,Software Product,Bengaluru
Smart IMS,4.0,130,IT Services & Consulting,Hyderabad
Navi Finserv,3.3,130,Bengaluru +16 other locations,
Numbertree LLP,3.3,129,Accounting & Auditing,New Delhi
Beroe Inc,4.1,129,Management Consulting,Chennai
Amplifon,4.0,129,Medical Equipment,Gurugram
MotivityLabs,3.1,129,IT Services & Consulting,Hyderabad
IVY SOFTWARE DEVELOPMENT SERVICES,3.9,129,IT Services & Consulting,Hyderabad
Auriga Research,2.7,129,Analytics & KPO,Bengaluru
Techila Global Services,3.5,129,IT Services & Consulting,Pune
Tex Corp.,3.7,129,Fashion & Textile,Gurugram
Risebird Talent Solutions,3.8,129,Recruitment,Noida
Fortune Business Insights,3.4,129,Analytics & KPO,Pune
Krishna Enterprises,3.8,129,Industrial Machinery,Faridabad
Dembla Valves,3.7,129,Industrial Machinery,Mumbai
The AEC Associates,4.4,129,Engineering & Construction,Noida
Coupa Software Inc,3.3,129,IT Services & Consulting,Pune
Amwaj Catering Services,3.8,129,Hospitality,Doha
Packt Publishing,3.0,129,Printing & Publishing,Mumbai
Crane Process Flow Technologies India,3.3,129,Industrial Machinery,Pune
AGI Greenpac,3.9,129,Packaging,Hyderabad
Sterling Manufacturing Company,3.7,129,Industrial Machinery,Gurugram
Sadara Chemical Company,4.0,128,Chemicals,Al Jubail
GE Capital,4.4,128,Financial Services,Gurugram
Galore Networks,2.7,128,IT Services & Consulting,Chennai
Merck Specialities,4.1,128,Pharma,Bengaluru
MAP Systems,2.8,128,IT Services & Consulting,Bengaluru
Siec Education,2.7,128,Recruitment,New Delhi
Al Hassan Engineering Company SAOG,3.8,128,Engineering & Construction,Muscat
GetMyUni,3.3,128,Education & Training,Bengaluru
NEXA Service,4.1,128,Automobile,Hyderabad
BL Lifesciences,3.2,128,Medical Equipment,New Delhi
ABIL Group,4.3,128,Real Estate,Pune
IndiaCan,4.8,128,EdTech,New Delhi
Welcomhotel By ITC Hotels,4.3,128,Hospitality,New Delhi
Vedang Radio Technology,4.2,128,Telecom,Mumbai
C-Square Info Solutions,3.5,128,IT Services & Consulting,Bengaluru
Omni Hospital,3.7,128,Healthcare,Hyderabad
Indian Acrylics,3.9,128,Chemicals,Sangrur
Ganga Medical Centre & Hospitals,4.1,128,Healthcare,Coimbatore
Fourth Dimension Technologies,3.3,129,IT Services & Consulting,Chennai
College Of Education,4.4,128,Education & Training,Hyderabad
T & T Infra,4.0,128,Engineering & Construction,Pune
Jain Amar,3.0,129,Retail,Ludhiana
Shri Bhagwati Machines Pvt. Ltd.,3.7,128,Industrial Machinery,Ajmer
WonderBotz,3.9,128,IT Services & Consulting,Bengaluru
Indian Synthetic Rubber,4.1,128,Petrochemicals,Panipat
Shantha Biotechnics,4.8,128,Biotechnology,Hyderabad
Lot Mobiles,3.5,128,Retail,Hyderabad
Mahatma Gandhi Medical College & Hospital,4.2,128,Education & Training,Jaipur
Edge Telecom,3.6,128,Telecom,Gurugram
Vital Laboratories,3.3,128,Pharma,Vapi
Cybertech Systems & Software,3.4,128,IT Services & Consulting,Mumbai
Computer Junction,3.6,128,IT Services & Consulting,New Delhi
Chemco Plastic Industries Private Limited,4.5,128,Petrochemicals,Mumbai
Gates Unitta India Company,4.0,128,Auto Components,Chennai
Kpn Farm Fresh,3.7,128,Internet,Chennai
Wildnet Technologies,4.3,128,Marketing & Advertising,Noida
Medicamen Biotech,3.2,128,Pharma,New Delhi
R.K Associates & Hoteliers,2.6,128,Facility Management Services,New Delhi
Dharmaj Crop Guard,4.0,128,Agro Chemicals,Ahmedabad
Zeus Learning,2.8,128,EdTech,Mumbai
DH Healthcare Software Services India Private Limited (Dedalus),3.5,128,Software Product,Chennai
Small Industries Development Bank of India,3.8,128,NBFC,Mumbai
Bharat Cooperative Bank,4.1,128,Financial Services,Mumbai
Uk Realty,3.8,128,Real Estate,Mumbai
Devon Software Services,3.8,128,IT Services & Consulting,Bengaluru
Ediglobe,3.9,128,EdTech,Bengaluru
Maharishi Ayurveda Products,3.6,128,Pharma,Noida
Marvell,3.8,128,Semiconductors,Bengaluru
Mtandt,3.7,129,Industrial Machinery,Chennai
Hester Biosciences,3.5,128,Biotechnology,Ahmedabad
Mylab Discovery Solutions,2.9,128,Internet,Pune
Next Move Strategy Consulting,4.9,128,Tinsukia +4 other locations,
Stivaph Healthcare,4.1,128,Pharma,Ahmedabad
Saasguru,2.0,127,Education & Training,Pune
Nala Robotics,1.8,127,Hyderabad +2 other locations,
Scholastic,4.1,128,Printing & Publishing,Gurugram
Funskool India,3.9,127,Other,Chennai
Enrich Agro Food Products,3.6,127,FMCG,Rohtak
Ftcash,3.9,127,FinTech,Mumbai
Genus Electrotech,3.3,127,Semiconductors,Gandhidham
Seth Anandram Jaipuria School,3.7,127,Education & Training,Lucknow
Aditya Birla Renewables,3.9,127,Power,Mumbai
FR8,3.8,127,Internet,Chennai
Bubugao Communication,4.2,127,Jaipur +28 other locations,
SIMA Labs,3.9,128,Waste Management,New Delhi
Ghaziabad Precision Products,3.6,127,Automobile,Ghaziabad
Meritshot,4.5,127,Education & Training,Noida
DelEx Cargo,4.5,127,Logistics,Mumbai
Powermax Fitness India,4.8,127,Fitness & Wellness,Mumbai
Gromax Agri Equipment,3.8,127,Automobile,Vadodara
Odisha Power Transmission Corporation,4.3,127,Power,Bhubaneswar
P&R Infraprojects,3.8,127,Engineering & Construction,Chandigarh
Indore Composite,3.9,127,Telecom,Mumbai
BHARAT TECHNO PLAST,3.7,127,Auto Components,Ahmedabad
MCaffeine,2.9,127,Beauty & Personal Care,Mumbai
SmartConnect Technologies,2.4,127,IT Services & Consulting,Mumbai
Golden Tulip Hotels,3.4,127,Hospitality,New Delhi
Ashapurna Buildcon,3.6,128,Real Estate,Jodhpur
Jaya Shree Textiles,3.8,127,Fashion & Textile,Kolkata
Vivekananda Hospital,3.7,127,Healthcare,Durgapur
Vensar Constructions,4.2,127,Engineering & Construction,Hyderabad
Kewaunee Labway,4.1,128,Furniture & Furnishing,Bengaluru
S R Enterprises,3.9,128,Electrical Equipment,New Delhi
D&H Sécheron Electrodes,3.7,127,Industrial Machinery,Indore
Government Of Tamilnadu,4.0,127,Government,Chennai
KW Group,3.8,127,Non-Profit,Ghaziabad
Frog CellSat,3.8,127,Design,Noida
Multi Organics,3.1,127,Chemicals,Chandrapur
Kajaria Bathware,4.2,127,Building Material,Bhiwadi
Isgec Hitachi Zosen,3.6,127,Industrial Machinery,Bharuch
Sigma Corporation India,4.0,127,Auto Components,Gurugram
SOLITAIRE GROUP,3.6,127,Engineering & Construction,Pune
Vector India,3.9,127,Auto Components,Hyderabad
Chargebee,3.7,127,Software Product,Chennai
Serentica Renewables,4.2,128,Power,Gurugram
Likewize,3.5,127,Telecom,Chennai
Nice Software Solutions,3.0,127,IT Services & Consulting,Pune
TTK Services,3.3,127,Internet,Bengaluru
Modern Informatics,3.8,127,IT Services & Consulting,Mumbai
Aapna Infotech,4.3,127,IT Services & Consulting,New Delhi
Karma Ayurveda,3.6,127,Healthcare,New Delhi
Cerence,3.2,127,Software Product,Pune
Glory Global Solutions (south Asia),3.3,127,IT Services & Consulting,Mumbai
NewVision Software & Consultancy,3.4,127,IT Services & Consulting,Pune
Conceptia Software Technologies,4.0,127,Defence & Aerospace,Bengaluru
RN Valves & Faucets,3.2,127,Ghaziabad +17 other locations,
Daelim Industrial Co.,4.8,127,Petrochemicals,Chennai
QO BOX,4.6,126,IT Services & Consulting,Chennai
Weizmann Forex,4.4,126,Financial Services,Mumbai
Celebrity Cruises,4.1,126,Travel & Tourism,Mumbai
Anmol Biscuits,4.3,126,FMCG,Kolkata
Dai Ichi,4.2,126,Chemicals,Bharuch
Tasmed,3.4,126,Pharma,Chandigarh
Rama group,3.5,126,Real Estate,Pune
TSR Darashaw,3.4,126,BPO,Mumbai
Perpetuuiti Technosoft Services,3.5,126,IT Services & Consulting,Pune
Panchayati Raj,3.4,126,Government,Lucknow
Redington Gulf,3.6,126,IT Services & Consulting,Chennai
BrandMuscle,3.4,126,IT Services & Consulting,Bengaluru
Nahar Spinning Mills,4.2,126,Fashion & Textile,Ludhiana
Sud Chemie,4.5,126,Chemicals,Vadodara
Avvashya Cci Logistics,3.6,126,Logistics,Mumbai
Oaknet Healthcare,3.1,126,Pharma,Mumbai
Impulse,3.4,126,IT Services & Consulting,Gurugram
CTA Apparels,3.9,126,Fashion & Textile,Noida
Orient Blackswan,4.1,126,Printing & Publishing,Hyderabad
Atandra Energy,4.3,126,Electronics Manufacturing,Chennai
Starion India,3.5,126,Electronics Manufacturing,Pune
C H Robinson Worldwide Freight,3.3,126,Logistics,Mumbai
DDRC Agilus Diagnostics,3.8,126,Kochi +16 other locations,
Ufi Filters,3.9,126,Auto Components,Bawal
Forvis Mazars,3.1,126,Accounting & Auditing,Gurugram
Modelyze Labs,4.8,126,Bengaluru +1 other locations,
Rich Products & Solutions,3.6,126,Food Processing,Pune
Springworks,4.1,126,Software Product,Bengaluru
YouGov,3.6,126,Analytics & KPO,Mumbai
Abhijeet Group,3.8,126,Power,Visakhapatnam
Jaipuria Institute of Management,4.4,126,Education & Training,Lucknow
NDS InfoServ,3.2,126,BPO,Mumbai
Cheers Interactive,3.0,126,Management Consulting,Mumbai
Magnum Mi Steel,3.6,126,Iron & Steel,Gurugram
Interview Kickstart,3.7,126,Education & Training,Bengaluru
KMC HOSPITAL,4.1,126,Healthcare,Mangaluru
Continuum Global Solutions,3.6,126,BPO,Indore
Lahori Zeera,4.0,127,Beverage,Sahibzada Ajit Singh Nagar
Deqode,3.3,126,IT Services & Consulting,Indore
Cogeme Precision Parts,3.8,126,Industrial Machinery,Pune
Techversant Infotech,3.8,126,IT Services & Consulting,Thiruvananthapuram
Coloplast,3.4,126,Healthcare,New Delhi
Viaante Business Solutions,2.9,126,BPO,Mumbai
Auxein Medical,3.1,126,Medical Equipment,New Delhi
Geeklurn,3.6,126,EdTech,Bengaluru
Nitin Spinners,4.3,126,Fashion & Textile,Bhilwara
TRUGlobal,3.7,126,IT Services & Consulting,Bengaluru
Bharatiya Vidya Bhavan,3.9,126,Education & Training,Nagpur
United Airlines,3.9,126,Aviation,Gurugram
Believe Cosmetics,3.2,126,Bengaluru +21 other locations,
FNZ,3.1,126,FinTech,Gurugram
NGL Fine Chem,3.8,126,Pharma,Mumbai
AachiGroup,3.8,126,Chennai +22 other locations,
Getronics,4.2,126,IT Services & Consulting,Bengaluru
TSS Consultancy,3.3,126,IT Services & Consulting,Mumbai
RouteMobile,3.4,127,IT Services & Consulting,Mumbai
The India Thermit Corporation,3.5,126,Industrial Machinery,Kanpur
Microscan Infocommtech,4.0,126,Telecom,Mumbai
Sahara India Financial Corporation,3.9,125,Financial Services,Lucknow
Gm Infinite Dwelling,3.2,125,Real Estate,Bengaluru
Arki Techno Consultants,3.0,125,Engineering & Construction,Bhubaneswar
Radiant Guard Services Pvt. Ltd. - India,4.8,125,Law Enforcement & Security,Pune
Mores Techno Private Limited,4.8,125,Real Estate,Noida
Ambit Collective,3.6,125,Management Consulting,New Delhi
Verificient Technologies,3.0,125,Emerging Technologies,Pune
Vishnu Solutions,3.7,125,BPO,Kolkata
Honeywell Building Solutions,3.7,125,Engineering & Construction,Pune
Chetak Logistics,3.0,125,Logistics,New Delhi
Tega McNally Minerals,2.8,125,Industrial Machinery,Bengaluru
Vogo Automotive,4.0,125,Internet,Bengaluru
DELLA LEADERS CLUB,4.6,125,IT Services & Consulting,Mumbai
G.S.E.C,2.9,125,Logistics,Ahmedabad
Petronet LNG,4.5,125,Oil & Gas,Bharuch
Alstrong Enterprises,4.2,125,Building Material,New Delhi
INFAC,3.8,125,Auto Components,Chennai
Great Champ Technology Limited,2.8,126,EdTech,Noida
PeopleStrong Technologies,3.3,125,Software Product,Gurugram
Prose Technologies,3.8,125,Pune +32 other locations,
Sudisa Foundry,3.5,125,Auto Components,Jamshedpur
Sciative Solutions,3.8,125,Software Product,Navi Mumbai
Advance Decorative Laminates Private Limited,4.1,126,Building Material,Hapur
Central Bureau of Investigation,3.7,125,Defence & Aerospace,New Delhi
Express Housekeeper,3.8,125,Facility Management Services,Kolkata
JU Agri Sciences,4.3,125,Agro Chemicals,Noida
Novigo Solutions,3.8,125,IT Services & Consulting,Mangaluru
PhillipCapital,3.1,126,Financial Services,Mumbai
Rippling,2.7,125,Internet,Bengaluru
SJS Enterprises,3.9,125,Auto Components,Bengaluru
INTECH Creative Services Pvt. Ltd.,3.8,125,IT Services & Consulting,Gandhinagar
BEKEM Infra Projects,3.8,125,Engineering & Construction,Hyderabad
Storia Foods,3.8,125,Beverage,Mumbai
Input Zero Technologies,3.6,125,Analytics & KPO,Bengaluru
Pharmaffiliates Analytics Synthetics,4.0,126,Pharma,Panchkula
ADS Spirits,4.5,125,Beverage,New Delhi
Bioworld Merchandising,3.4,125,Retail,Gurugram
Sobha Projects and Trade,4.0,125,Engineering & Construction,Bengaluru
Oremus Corporate Services,3.7,125,Financial Services,Hyderabad
DANA Graziano India,4.1,125,Ahmedabad +11 other locations,
Centuary Fibre Plates,4.2,125,Furniture & Furnishing,Hyderabad
Ador Powertron,3.6,125,Electrical Equipment,Pune
Government Polytechnic Nagpur,3.9,125,Education & Training,Pune
Nikon,4.0,126,Consumer Electronics & Appliances,Gurugram
Gateway Distriparks,3.5,125,Logistics,New Delhi
La opala rg,3.8,125,Retail,Sitarganj
ShipBob,3.9,125,Logistics,New Delhi
ABS India,3.9,125,IT Services & Consulting,Bengaluru
Indian Institute of Science Education and Research,3.8,125,Analytics & KPO,Pune
LenDenClub,3.9,125,FinTech,Mumbai
Accubits Technologies,3.1,125,IT Services & Consulting,Thiruvananthapuram
Swami Rama Himalayan University,3.9,125,Education & Training,Dehradun
Edvoy,4.1,125,Chennai +6 other locations,
InSemi Technology Services,3.9,125,Semiconductors,Bengaluru
Adnet Global,3.0,125,Animation & VFX,Mumbai
Performics,3.8,125,Marketing & Advertising,Mumbai
Paranjape Autocast,3.4,126,Auto Components,Pune
Dar Group,3.3,125,Architecture & Interior Design,Pune
IMCS Group.,3.1,125,IT Services & Consulting,Noida
Pharmalex,3.3,125,Medical Equipment,Noida
Core Energy Systems Limited,3.8,125,Defence & Aerospace,Mumbai
Jain Housing & Constructions,4.2,125,Real Estate,Chennai
InfinityLabs,3.9,125,IT Services & Consulting,Noida
Oncospark India Private Limited,3.7,125,Analytics & KPO,Chennai
Object Frontier Software,3.8,124,IT Services & Consulting,Chennai
Indira Gandhi National Open University,4.2,124,Education & Training,New Delhi
NexWave Talent Management Solutions,3.4,124,Recruitment,Hyderabad
Hi-Tech Arai,3.8,124,Auto Components,Madurai
HERO ECOTECH,3.7,124,Automobile,Ludhiana
Pearl Organisation,3.3,124,IT Services & Consulting,Dehradun
National Public School,3.4,124,Education & Training,Bengaluru
Ars Steels,3.6,124,Iron & Steel,Chennai
Covenant Consultants,4.1,124,Recruitment,Chennai
TVS Next,3.6,125,IT Services & Consulting,Chennai
Radiant Enterprise,3.7,124,Furniture & Furnishing,Kolkata
Dormakaba India,3.8,124,Building Material,Chennai
DEC Property Management,4.0,124,Facility Management Services,New Delhi
Falabella,3.0,124,Retail,Bengaluru
Bijlipay,3.4,124,FinTech,Chennai
Bikayi,2.8,124,Marketing & Advertising,Bengaluru
Gojavas,4.7,124,Logistics,New Delhi
Retailio,3.8,124,Internet,Mumbai
Chetak Enterprises,4.5,124,Engineering & Construction,Mumbai
House of Beauty,3.7,124,Internet,Gurugram
Mahindra Agri Solutions,3.7,124,Agriculture,Mumbai
Religare Housing Development Finance Corporation,4.1,124,Financial Services,New Delhi
Akash Blowers,4.3,124,Bahadurgarh +5 other locations,
Galacon Infrastructure and Projects,3.3,124,Engineering & Construction,Hyderabad
Hombale Constructions and Estates,4.4,124,Engineering & Construction,Bengaluru
The Hi-tech Robotic Systemz,3.8,125,Emerging Technologies,Gurugram
S10 Healthcare Solutions,3.6,124,Fitness & Wellness,Chennai
Numero Uno Clothing,4.1,125,Fashion & Textile,Gurugram
HirePro Consulting,3.7,124,Software Product,Bengaluru
InnoEye Technologies,3.1,124,IT Services & Consulting,Indore
Dewar's Garage,3.1,124,Automobile,Kolkata
IMARC Group,3.3,124,Analytics & KPO,New Delhi
Infotree Global Solutions,3.1,124,Recruitment,Jammu
Jse Engineering Private Limited,3.4,124,Engineering & Construction,Chennai
Harsha Toyota,4.1,124,Automobile,Chennai
Noida International University,3.2,124,Education & Training,Noida
Clinic Dermatech,3.0,124,Beauty & Personal Care,New Delhi
Pace IIT & Medical,3.3,124,Education & Training,Mumbai
Caterpillar Signs,3.3,124,Printing & Publishing,Ahmedabad
Kamal Ced Solution,4.1,124,Gurugram +14 other locations,
ams OSRAM,3.1,124,Electronics Manufacturing,Bengaluru
Mitratech,3.7,124,Software Product,Hyderabad
Information Evolution,3.6,124,IT Services & Consulting,Coimbatore
AVASO Technology Solutions,3.2,124,IT Services & Consulting,Sahibzada Ajit Singh Nagar
ERGO Technology & Services,3.3,124,IT Services & Consulting,Mumbai
Bioplus Life Sciences,3.7,124,Pharma,Bengaluru
Marc Laboratories,3.2,124,Pharma,Lucknow
Consort Builders,4.4,124,Real Estate,Chandigarh
Wave Beverages,3.7,124,Beverage,Amritsar
TableSpace Technologies,3.0,124,Real Estate,Bengaluru
Zeomega Infotech,3.6,124,IT Services & Consulting,Bengaluru
Tvs Training And Services,3.6,124,Education & Training,Chennai
Grid Dynamics,3.2,125,IT Services & Consulting,Hyderabad
Bellfast Management,4.2,124,Recruitment,Bengaluru
Xome,4.2,124,Internet,Chennai
Kanan International,3.0,124,Internet,Vadodara
TM International Logistics,3.7,124,Logistics,Kolkata
Alstone Manufacturing,4.1,124,Building Material,New Delhi
TeamLease Staffing Solutions,3.3,123,Internet,Bengaluru
Indus International School,3.3,123,Education & Training,Bengaluru
Sicagen,3.8,123,Industrial Automation,Chennai
Gram Panchayat,4.2,124,Government,Pune
Claritus Management Consulting,4.2,123,IT Services & Consulting,Noida
91 Springboard Business Hub,3.9,123,Real Estate,Bengaluru
R.k.industries,3.7,123,Industrial Machinery,Chennai
Everest Blowers & Vacuum Pumps,3.4,123,Industrial Machinery,New Delhi
NU Hospitals,3.8,123,Healthcare,Bengaluru
Kun Hyundai,3.9,123,Automobile,Chennai
Renishaw Metrology Systems Limited,4.0,123,Industrial Automation,Pune
Midco,3.6,123,Telecom,Mumbai
Wicked Ride Adventures,4.1,123,Internet,Bengaluru
Floating Numbers Digital Solutions,3.2,123,IT Services & Consulting,Kolkata
Marc Enterprises,3.6,123,Electronics Manufacturing,New Delhi
GO MO Group AB,4.0,123,Marketing & Advertising,Pune
Platinum One,3.4,123,BPO,Mumbai
Affordplan,3.1,123,FinTech,Gurugram
DAS Offshore Engineering,3.8,123,Industrial Machinery,Mumbai
Diversey India Hygiene,3.9,123,Mumbai +27 other locations,
Menzies Aviation Bobba,3.7,123,Aviation,Bengaluru
S.R. Batliboi & Associates,3.0,123,Accounting & Auditing,Bengaluru
Government of Madhya Pradesh,3.9,123,Government,Bhopal
Geekyants Software,3.3,123,IT Services & Consulting,Bengaluru
CL MICROMED,4.0,123,Medical Equipment,New Delhi
Biyani Technologies,3.7,123,Software Product,Kolhapur
Badafinance S&P Services,4.0,123,Mumbai +1 other locations,
APPL Industries,3.7,123,Chemicals,Pune
Cartrade.com,3.7,123,Internet,Mumbai
Sri Sai Power and Equipments,3.6,123,Industrial Machinery,Surat
Adyar Ananda Bhavan Sweets,4.0,123,Hospitality,Chennai
Maxvalue Credits & Investments,3.8,123,NBFC,Thrissur
Brindavan Bottlers,3.4,123,Beverage,Lucknow
Mumbai Metro One,3.9,123,Urban Transport,Mumbai
Mawai Infotech,3.3,123,IT Services & Consulting,Noida
Lincoln Electric,4.0,123,Electrical Equipment,Chennai
Stratogent Technology Services,3.1,123,IT Services & Consulting,Bengaluru
Global Group,4.0,123,Engineering & Construction,Pune
REVA University,3.8,123,Education & Training,Bengaluru
NovelVox Softwares India Pvt. Ltd.,4.3,123,IT Services & Consulting,Faridabad
GD Goenka International School,3.3,123,Surat +16 other locations,
Vahdam India,4.1,123,Beverage,Noida
JBF Industries,3.5,123,Fashion & Textile,Dadra
Nimap Infotech,3.2,123,IT Services & Consulting,Mumbai
GREEN POWER INTERNATIONAL,4.3,124,Oil & Gas,Noida
BML Munjal University,4.1,123,Education & Training,Gurugram
LS Cable,4.4,123,Electrical Equipment,Gurugram
Shiv Nadar University,4.1,123,Education & Training,New Delhi
MPOnline,3.4,123,IT Services & Consulting,Bhopal
Xtrim Global Solutions,4.6,123,BPO,Indore
Provab Technosoft,2.9,123,IT Services & Consulting,Bengaluru
Viswaat Chemicals,3.7,123,Chemicals,Mumbai
BASIC Home Loan,3.7,123,FinTech,Gurugram
Gemba Concepts,3.1,123,Management Consulting,Bengaluru
Bounce,3.2,123,Automobile,Bengaluru
Saarloha Advanced Materials,3.2,123,Iron & Steel,Pune
TekFriday Processing Solutions,3.5,123,Financial Services,Hyderabad
Saraswati Vidya Mandir,3.9,123,Education & Training,New Delhi
Yuto Printing and Packaging,3.4,123,Packaging,Bengaluru
GALAXY OFFICE AUTOMATION,4.0,123,IT Services & Consulting,Mumbai
ICG Medical,2.3,123,Recruitment,Gurugram
Ayushman Hospital & Health Services,3.8,123,Healthcare,New Delhi
MSP Group,3.8,123,Raigarh +13 other locations,
Creative Projects & Contracts,4.1,123,Engineering & Construction,Jaipur
Vydehi Institute Of Medical Sciences And Research Centre,3.6,123,Healthcare,Bengaluru
Raj Process Equipments And System,3.7,123,Industrial Machinery,Pune
Digiperform,3.4,123,Education & Training,New Delhi
Rocket Software,4.1,123,IT Services & Consulting,Pune
DQ Entertainment,3.3,122,Animation & VFX,Hyderabad
Chemtrols Industries,3.2,122,Industrial Automation,Mumbai
TDS Group,4.1,122,Financial Services,New Delhi
Skyi Developers,4.3,122,Real Estate,Pune
Hidoc Dr,4.7,123,Internet,Pune
MAHLE Holding (India),3.7,122,Auto Components,Pune
Glowlogics Solutions,4.2,122,Bengaluru +5 other locations,
Rotary Engineering,4.1,122,Oil & Gas,Chennai
The Digital Group Infotech,3.4,122,IT Services & Consulting,Pune
Futures Group,4.6,122,Retail,New Delhi
Terminal Technologies (i),4.2,122,Telecom,Pune
Citi Style,4.2,122,Retail,Kolkata
Hitachi Rail STS,4.0,122,Railways,Bengaluru
Smarter BIZ Technologies,3.1,122,IT Services & Consulting,Bengaluru
Saboo RKS Motor,4.1,122,Automobile,Hyderabad
iPlace,3.7,122,Pune +2 other locations,
Electronica India Limited,4.6,122,Pune +25 other locations,
The Heritage School,3.7,122,Education & Training,New Delhi
Bird Group,2.9,122,Aviation,New Delhi
PGEIN,3.5,122,Accounting & Auditing,Chandigarh
Elysium Pharmaceuticals,3.3,122,Pharma,Vadodara
Indwell,3.5,122,Engineering & Construction,Vijayawada
South India Krishna Oil & Fat,4.2,123,Oil & Gas,Nellore
Decision Minds,3.5,122,IT Services & Consulting,Bengaluru
Sher-I-Kashmir Institute of Medical Sciences,4.2,122,Healthcare,Srinagar
Chinmaya Vidyalaya,3.9,122,Education & Training,New Delhi
INTERPLEX,4.1,122,Industrial Automation,Bengaluru
Cybernetik Technologies,4.0,122,Industrial Automation,Pune
Iswarya Fertility Centre,3.2,121,Healthcare,Chennai
Prabhudas Lilladher,3.3,122,Financial Services,Mumbai
ElringKlinger AG,3.7,122,Auto Components,Pune
Pipeline Infrastructure,4.1,123,Oil & Gas,Mumbai
Veoneer India,3.9,122,Auto Components,Bengaluru
Quadrafort Technologies,3.5,122,IT Services & Consulting,Noida
Guardian Healthcare Services,3.9,123,Fitness & Wellness,New Delhi
Pride Technologies,3.3,122,Recruitment,Chennai
